row,city,built,non-built,water
WC=built,Wuhan,11,34,0
WC=non-built,Wuhan,41,38,5
WC=water,Wuhan,0,8,13
WC=built,Hefei,19,42,2
WC=non-built,Hefei,24,50,3
WC=water,Hefei,1,2,7
WC=built,Nanchang,7,28,2
WC=non-built,Nanchang,22,53,13
WC=water,Nanchang,0,16,9
WC=built,Nanjing,10,41,1
WC=non-built,Nanjing,36,33,12
WC=water,Nanjing,4,8,5
WC=built,Changsha,14,28,5
WC=non-built,Changsha,17,48,15
WC=water,Changsha,2,7,14
WC=built,Hangzhou,11,24,0
WC=non-built,Hangzhou,12,40,9
WC=water,Hangzhou,0,16,38
WC=built,ALL(6),72,197,10
WC=non-built,ALL(6),152,262,57
WC=water,ALL(6),7,57,86
